dataset_name_formatted,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_score_mean,f1_score_std,f1_score_count
CoCoNot/Unknowns,1.0,0.0,20,0.908955223880597,0.14679035487585237,20,0.945541098651155,0.09278047687717529,20
BB/Known unknowns,0.9287385448689797,0.0586429250209633,20,0.8956521739130435,0.19103371745807118,20,0.899484903637356,0.12399642287655846,20
CoCoNot/Unsupported,0.9649859168670794,0.05355722348225182,20,0.8237500000000001,0.16062002944729256,20,0.8825149270401736,0.11658125405723836,20
CoCoNot/Humanizing,1.0,0.0,20,0.8128048780487805,0.1948118122520559,20,0.8823708082348694,0.14125843413772093,20
CoCoNot/Incomprehensible,1.0,0.0,20,0.8061224489795918,0.17822199968667882,20,0.8807245047364525,0.12783213561350676,20
GSM8K,0.9775999581953156,0.05414192277423931,23,0.7424997311731604,0.25902464927479374,23,0.819753850701351,0.2107005455431273,23
CoCoNot/Temporal,1.0,0.0,20,0.7013513513513514,0.13822220694850088,20,0.8167853706475539,0.0998728810866757,20
CoCoNot/Subjective,1.0,0.0,20,0.7033333333333334,0.19233863898547177,20,0.8088521748844315,0.15998093842024577,20
BBQ,0.9290494977618324,0.05020415298482221,20,0.7208098987626547,0.19784817787551712,20,0.7949607350653851,0.1393628945528476,20
CoCoNot/False presumptions,0.9271570646872567,0.0587542013787635,20,0.6909638554216867,0.1360446544374621,20,0.7858666389451836,0.1147158312398789,20
KUQ/Future unknowns,0.9083881389086175,0.032846053350161344,20,0.6662576687116564,0.09138514281372431,20,0.7644336133831551,0.06102112892259061,20
ALCUNA,0.8539736686951256,0.07492326116939212,20,0.6625334124540244,0.1180663227817658,20,0.7391114195501868,0.08620725314170195,20
KUQ/Unsolved problems,0.8763101440326873,0.04141950795567626,20,0.6272340425531915,0.07739289067360217,20,0.7283816626744157,0.05681863127813,20
KUQ/Controversial,0.904658021287627,0.0377067602199709,20,0.5936201780415431,0.10622663335590629,20,0.710494105973471,0.07912496185034279,20
KUQ/False assumptions,0.8949097961909335,0.047872024655285186,20,0.5657894736842105,0.08103960607585657,20,0.6889382851945538,0.05899683162426888,20
WorldSense,0.6336201886558276,0.20178968308255343,20,0.7758680555555555,0.14085288753121394,20,0.680106731728116,0.15378460860948107,20
SQuAD 2.0,0.9736364686885525,0.00983429928851702,20,0.5288819875776397,0.16792443229167134,20,0.6683123611999074,0.15955466982268357,20
KUQ/Ambiguous,0.7400133733505867,0.07201139687786166,20,0.6160596026490066,0.09093974811320409,20,0.665025302831531,0.05133434017711189,20
UMWP,0.9800473536486368,0.03243911588279949,19,0.515520224231247,0.15464881359592927,19,0.6619247135596319,0.141038569152367,19
FalseQA,0.8548455100597986,0.06293830255859412,20,0.4977438136826783,0.12757802559722664,20,0.6212669527165875,0.11700683103717904,20
Musique,0.8918528964986333,0.0766968212404627,20,0.5329787234042553,0.26055677046704573,20,0.6170018034650415,0.23081362720321363,20
GPQA-Diamond,0.9440741799043805,0.07384535884913011,21,0.48214285714285715,0.2073859411132504,21,0.6143843044824996,0.20085876250692133,21
MMLU Math,0.9501116294521805,0.0586789904044306,20,0.48233082706766917,0.22363340881579255,20,0.6112804324345358,0.22442643913747942,20
SituatedQA/Geo,0.567887758363563,0.1133202469603728,20,0.6472868217054264,0.1721944412090385,20,0.5793688964640858,0.06752826796557046,20
QAQA,0.8165153677890464,0.05937546621021233,20,0.4514035087719298,0.09975931249240794,20,0.5751547424691452,0.08875657309082251,20
BB/Disambiguate,0.5102357417305596,0.11971851034920168,20,0.5373333333333333,0.34499190599879065,20,0.4440653670364811,0.17636837500639382,20
FreshQA,0.38781431925584403,0.10046583432324799,20,0.6085106382978723,0.2120255875530761,20,0.4385938565796542,0.06000803000555807,20
MoralChoice,0.939315800936364,0.12862689082373055,20,0.28058823529411764,0.0788877331978713,20,0.41892775906565927,0.04961470943447985,20
MMLU History,0.9302231374290199,0.10245679357607806,21,0.2844932844932845,0.16496264233613475,21,0.4100736474937702,0.20527970561597988,21
QASPER,0.2459786475382227,0.037897589896490426,20,0.9240506329113923,0.05720209975660408,20,0.3871721682926754,0.05095954280496823,20
MediQ,0.9728120660366504,0.02202076196257249,20,0.1318310858765081,0.10688666024861887,20,0.21800239792410087,0.15537647217420916,20
