model_name_formatted,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_score_mean,f1_score_std,f1_score_count
o1LowReasoningAPI,0.9997846683893196,0.0004306632213608071,4,0.6636416877296927,0.24666642454771534,4,0.7770298924528709,0.18724854233074598,4
GPT-4o,0.8841647680868576,0.19380574197086128,31,0.7221828509300238,0.18617032693237612,31,0.7644538612989793,0.17421779704099236,31
o1HighReasoningAPI,0.9807692307692308,0.038461538461538346,4,0.6494606895830481,0.24575159547043143,4,0.7612194126896397,0.18664489357631547,4
Qwen2.5 32B,0.8519261721859197,0.20456111144522254,31,0.7312722680493359,0.19051579067345392,31,0.7530768743653147,0.17202668557159456,31
o1,0.8862563286121528,0.18845681938427725,31,0.702106437207921,0.2192882761468915,31,0.7475713137992026,0.19880746649580874,31
Gemini 1.5 Pro,0.8625345729469854,0.19482461361528236,31,0.704185194830141,0.2060594800421799,31,0.7433654266991899,0.18296354932599007,31
Llama 3.1 405B Instruct,0.8496453116978248,0.207834455335955,30,0.7085688789545564,0.19674043644006733,30,0.7387846987553824,0.1842557125954108,30
Llama 3.1 70B Tulu 3 DPO,0.8600092399315359,0.20106340811141848,31,0.7136291584904129,0.2284142455676369,31,0.7382229951198976,0.20021925641504776,31
Llama 3.1 70B Tulu 3 PPO RLVF,0.8615141613120623,0.20284491100607874,30,0.7092928112772403,0.24439065687269818,30,0.7304505395733022,0.21655611650237597,30
Llama 3.1 70B Instruct,0.8586209247188186,0.20764514274948967,31,0.6700502514397435,0.20742534522222364,31,0.7161861383400846,0.1888566018882983,31
Llama 3.3 70B Instruct,0.8698457430035061,0.1956445894376325,31,0.6681425589450817,0.22036733971280403,31,0.7140040028585631,0.18779198538035863,31
Llama 3.1 8B Instruct,0.8152407133847722,0.22736669087821273,31,0.6891643931185458,0.20579532266507017,31,0.7064216011049305,0.1990640527780786,31
Mistral 7B v0.3,0.8219375870732967,0.21191138346513533,30,0.6642119728468824,0.20180807387205377,30,0.7024608145064234,0.18292515987619987,30
Llama 3.1 70B Tulu 3 SFT,0.8517161858056734,0.21580063360797225,30,0.6475607187750284,0.2826405989654241,30,0.6760754951488411,0.2581436878865219,30
Llama 3.1 8B Tulu 3 DPO,0.8477185170588232,0.2145882265716553,31,0.5942053349861302,0.28798688909039716,31,0.6317176135350739,0.24958615672800666,31
Llama 3.1 8B Tulu 3 PPO RLVF,0.8666143404471185,0.2097138032279013,31,0.5812966649842675,0.2929878249059781,31,0.626510152090993,0.2561783925558284,31
OLMo 7B,0.8094555055037865,0.20675600943020822,30,0.5697020894497026,0.22543613938855211,30,0.6200205773187961,0.18994573041440355,30
DeepSeek R1 Distill Llama 70B,0.8892768252929367,0.17569394485342568,31,0.4751431484031234,0.21624095482880565,31,0.5818735841892237,0.2058920981393191,31
Llama 3.1 8B Tulu 3 SFT,0.8396410209616421,0.2295467460958607,31,0.5158782153116488,0.2922898987250085,31,0.5724279686893349,0.2821776862131231,31
Llama 3.1 70B Base,0.8248489875105243,0.18420433380621176,30,0.47293724164657713,0.21534523962360055,30,0.5512512776517553,0.18217715652765448,30
S1.1 32B,0.9093006852662519,0.15875302761259433,31,0.4414898619876479,0.2231780248601522,31,0.548779721554118,0.20778748365540534,31
Llama 3.1 8B Base,0.8136758789795916,0.19941423312056383,30,0.44129545770710643,0.1712230081707243,30,0.5325471366245714,0.15303763124260406,30
TinyLlamaChat,0.8468280376677323,0.13837049930821207,3,0.24067334294261875,0.06573624727789952,3,0.37188108694958005,0.08762467467914334,3
